id,created,status,error,parentid,trackerx,trackery,lp1h,lp2h,lp1w,lp2w,rp1h,rp2h,rp1w,rp2w,fw1,f2w,fw3,fw4,edge1,edge2
GRASSLAND-FOR-ENGRG-00000,2020-03-24T17:34:10.318Z,pass,,1,259,184,57,58,83,83,0,0,0,9.88131e-324,781,781,784,784,0,0
GRASSLAND-FOR-ENGRG-00001,2020-03-24T17:34:10.609Z,pass,,1,263,189,57,58,82,83,0,0,0,9.88131e-324,785,785,787,787,548,0
GRASSLAND-FOR-ENGRG-00002,2020-03-24T17:34:10.903Z,pass,,1,263,190,58,58,82,83,0,0,0,9.88131e-324,785,785,787,787,548,0
GRASSLAND-FOR-ENGRG-00003,2020-03-24T17:34:11.203Z,pass,,1,262,194,57,58,82,83,0,0,0,9.88131e-324,785,785,786,786,548,0
GRASSLAND-FOR-ENGRG-00004,2020-03-24T17:34:11.486Z,pass,,1,259,198,58,58,82,83,0,0,0,9.88131e-324,782,782,783,783,548,0
GRASSLAND-FOR-ENGRG-00005,2020-03-24T17:34:11.752Z,pass,,1,258,199,57,58,83,82,0,0,0,9.88131e-324,780,780,782,782,548,0
GRASSLAND-FOR-ENGRG-00006,2020-03-24T17:34:12.040Z,pass,,1,258,198,57,58,82,83,0,0,0,9.88131e-324,781,781,783,783,548,0
GRASSLAND-FOR-ENGRG-00007,2020-03-24T17:34:12.325Z,pass,,1,258,199,58,58,82,82,0,0,0,9.88131e-324,781,781,783,783,548,0
GRASSLAND-FOR-ENGRG-00008,2020-03-24T17:34:12.600Z,pass,,1,257,201,57,58,82,82,0,0,0,9.88131e-324,780,780,782,782,548,0
GRASSLAND-FOR-ENGRG-00009,2020-03-24T17:34:12.882Z,pass,,1,256,201,57,58,82,83,0,0,0,9.88131e-324,779,779,781,781,548,0
GRASSLAND-FOR-ENGRG-00010,2020-03-24T17:34:13.193Z,pass,,1,256,200,57,57,82,82,0,0,0,9.88131e-324,779,779,781,781,548,0
GRASSLAND-FOR-ENGRG-00011,2020-03-24T17:34:13.481Z,pass,,1,255,200,57,58,82,82,0,0,0,9.88131e-324,779,779,781,781,548,0
GRASSLAND-FOR-ENGRG-00012,2020-03-24T17:34:13.780Z,pass,,1,255,202,58,58,81,82,0,0,0,9.88131e-324,778,778,780,780,548,0
GRASSLAND-FOR-ENGRG-00013,2020-03-24T17:34:14.061Z,pass,,1,255,202,57,58,82,82,0,0,0,9.88131e-324,778,778,780,780,548,0
GRASSLAND-FOR-ENGRG-00014,2020-03-24T17:34:14.349Z,pass,,1,255,202,57,58,82,82,0,0,0,9.88131e-324,779,779,780,780,548,0
GRASSLAND-FOR-ENGRG-00015,2020-03-24T17:34:14.634Z,pass,,1,256,204,57,58,82,82,0,0,0,9.88131e-324,779,779,781,781,548,0
GRASSLAND-FOR-ENGRG-00016,2020-03-24T17:34:14.903Z,pass,,1,254,206,57,58,82,82,0,0,0,9.88131e-324,777,777,779,779,548,0
GRASSLAND-FOR-ENGRG-00017,2020-03-24T17:34:15.200Z,pass,,1,254,207,57,58,82,82,0,0,0,9.88131e-324,777,777,779,779,548,0
GRASSLAND-FOR-ENGRG-00018,2020-03-24T17:34:15.476Z,pass,,1,254,206,57,57,81,82,0,0,0,9.88131e-324,777,777,779,779,548,0
GRASSLAND-FOR-ENGRG-00019,2020-03-24T17:34:15.754Z,pass,,1,253,209,57,58,81,82,0,0,0,9.88131e-324,775,775,778,778,548,0
GRASSLAND-FOR-ENGRG-00020,2020-03-24T17:34:16.030Z,pass,,1,251,211,57,57,82,82,0,0,0,9.88131e-324,774,774,775,775,548,0
GRASSLAND-FOR-ENGRG-00021,2020-03-24T17:34:16.310Z,pass,,1,250,211,57,58,82,82,0,0,0,9.88131e-324,773,773,774,774,548,0
GRASSLAND-FOR-ENGRG-00022,2020-03-24T17:34:16.591Z,pass,,1,249,210,58,58,82,82,0,0,0,9.88131e-324,772,772,774,774,548,0
GRASSLAND-FOR-ENGRG-00023,2020-03-24T17:34:16.865Z,pass,,1,248,211,57,58,82,82,0,0,0,9.88131e-324,770,770,772,772,548,0
GRASSLAND-FOR-ENGRG-00024,2020-03-24T17:34:17.162Z,pass,,1,248,212,57,57,82,82,0,0,0,9.88131e-324,770,770,772,772,548,0
GRASSLAND-FOR-ENGRG-00025,2020-03-24T17:34:17.439Z,pass,,1,249,211,57,58,81,82,0,0,0,9.88131e-324,771,771,773,773,548,0
GRASSLAND-FOR-ENGRG-00026,2020-03-24T17:34:17.719Z,pass,,1,250,210,58,58,81,82,0,0,0,9.88131e-324,772,772,774,774,548,0
GRASSLAND-FOR-ENGRG-00027,2020-03-24T17:34:18.012Z,pass,,1,250,211,58,57,82,82,0,0,0,9.88131e-324,773,773,775,775,548,0
GRASSLAND-FOR-ENGRG-00028,2020-03-24T17:34:18.297Z,pass,,1,250,211,57,58,82,82,0,0,0,9.88131e-324,774,774,775,775,548,0
GRASSLAND-FOR-ENGRG-00029,2020-03-24T17:34:18.577Z,pass,,1,251,210,58,58,82,82,0,0,0,9.88131e-324,774,774,776,776,548,0
GRASSLAND-FOR-ENGRG-00030,2020-03-24T17:34:18.856Z,pass,,1,253,207,58,58,82,82,0,0,0,9.88131e-324,776,776,778,778,548,0
GRASSLAND-FOR-ENGRG-00031,2020-03-24T17:34:19.137Z,pass,,1,251,208,57,58,82,82,0,0,0,9.88131e-324,774,774,776,776,548,0
GRASSLAND-FOR-ENGRG-00032,2020-03-24T17:34:19.423Z,pass,,1,251,207,57,57,82,82,0,0,0,9.88131e-324,774,774,776,776,548,0
GRASSLAND-FOR-ENGRG-00033,2020-03-24T17:34:19.696Z,pass,,1,252,206,57,58,82,81,0,0,0,9.88131e-324,775,775,777,777,548,0
GRASSLAND-FOR-ENGRG-00034,2020-03-24T17:34:20.079Z,pass,,1,253,205,58,58,82,81,0,0,0,9.88131e-324,776,776,778,778,548,0
GRASSLAND-FOR-ENGRG-00035,2020-03-24T17:34:20.377Z,pass,,1,252,207,57,58,82,82,0,0,0,9.88131e-324,775,775,777,777,548,0
GRASSLAND-FOR-ENGRG-00036,2020-03-24T17:34:20.659Z,pass,,1,252,208,57,57,82,82,0,0,0,9.88131e-324,775,775,777,777,548,0
GRASSLAND-FOR-ENGRG-00037,2020-03-24T17:34:20.945Z,pass,,1,252,207,57,58,81,82,0,0,0,9.88131e-324,776,776,778,778,548,0
GRASSLAND-FOR-ENGRG-00038,2020-03-24T17:34:21.221Z,pass,,1,252,207,57,57,81,82,0,0,0,9.88131e-324,775,775,777,777,548,0
GRASSLAND-FOR-ENGRG-00039,2020-03-24T17:34:21.503Z,pass,,1,251,208,57,58,81,82,0,0,0,9.88131e-324,774,774,776,776,548,0
GRASSLAND-FOR-ENGRG-00040,2020-03-24T17:34:21.790Z,pass,,1,250,209,57,57,82,82,0,0,0,9.88131e-324,773,773,776,776,548,0
GRASSLAND-FOR-ENGRG-00041,2020-03-24T17:34:22.077Z,pass,,1,250,208,57,57,81,82,0,0,0,9.88131e-324,773,773,775,775,548,0
GRASSLAND-FOR-ENGRG-00042,2020-03-24T17:34:22.368Z,pass,,1,248,208,58,58,82,82,0,0,0,9.88131e-324,771,771,773,773,548,0
GRASSLAND-FOR-ENGRG-00043,2020-03-24T17:34:22.667Z,pass,,1,247,211,57,58,81,82,0,0,0,9.88131e-324,769,769,771,771,548,0
GRASSLAND-FOR-ENGRG-00044,2020-03-24T17:34:22.941Z,pass,,1,246,211,58,58,82,82,0,0,0,9.88131e-324,769,769,771,771,548,0
GRASSLAND-FOR-ENGRG-00045,2020-03-24T17:34:23.218Z,pass,,1,248,209,57,58,81,82,0,0,0,9.88131e-324,770,770,773,773,548,0
GRASSLAND-FOR-ENGRG-00046,2020-03-24T17:34:23.514Z,pass,,1,248,211,57,57,81,81,0,0,0,9.88131e-324,771,771,773,773,548,0
GRASSLAND-FOR-ENGRG-00047,2020-03-24T17:34:23.854Z,pass,,1,248,211,57,58,81,82,0,0,0,9.88131e-324,770,770,773,773,548,0
GRASSLAND-FOR-ENGRG-00048,2020-03-24T17:34:24.130Z,pass,,1,248,212,56,57,81,81,0,0,0,9.88131e-324,771,771,773,773,548,0
GRASSLAND-FOR-ENGRG-00049,2020-03-24T17:34:24.419Z,pass,,1,250,209,57,57,81,82,0,0,0,9.88131e-324,772,772,775,775,548,0
GRASSLAND-FOR-ENGRG-00050,2020-03-24T17:34:24.695Z,pass,,1,251,208,57,57,82,81,0,0,0,9.88131e-324,773,773,776,776,548,0
GRASSLAND-FOR-ENGRG-00051,2020-03-24T17:34:24.976Z,pass,,1,252,209,57,57,81,82,0,0,0,9.88131e-324,775,775,776,776,548,0
GRASSLAND-FOR-ENGRG-00052,2020-03-24T17:34:25.269Z,pass,,1,252,208,57,57,82,81,0,0,0,9.88131e-324,775,775,777,777,548,0
GRASSLAND-FOR-ENGRG-00053,2020-03-24T17:34:25.549Z,pass,,1,253,205,57,58,81,81,0,0,0,9.88131e-324,774,774,777,777,548,0
GRASSLAND-FOR-ENGRG-00054,2020-03-24T17:34:25.829Z,pass,,1,252,206,57,57,81,81,0,0,0,9.88131e-324,774,774,776,776,548,0
GRASSLAND-FOR-ENGRG-00055,2020-03-24T17:34:26.119Z,pass,,1,251,207,57,57,81,82,0,0,0,9.88131e-324,773,773,776,776,548,0
GRASSLAND-FOR-ENGRG-00056,2020-03-24T17:34:26.444Z,pass,,1,251,207,57,57,81,82,0,0,0,9.88131e-324,774,774,776,776,548,0
GRASSLAND-FOR-ENGRG-00057,2020-03-24T17:34:26.743Z,pass,,1,251,205,57,57,81,81,0,0,0,9.88131e-324,774,774,777,777,548,0
GRASSLAND-FOR-ENGRG-00058,2020-03-24T17:34:27.017Z,pass,,1,251,206,57,57,81,82,0,0,0,9.88131e-324,774,774,776,776,548,0
GRASSLAND-FOR-ENGRG-00059,2020-03-24T17:34:27.282Z,pass,,1,248,207,57,58,81,82,0,0,0,9.88131e-324,771,771,774,774,548,0
GRASSLAND-FOR-ENGRG-00060,2020-03-24T17:34:27.575Z,pass,,1,249,209,57,57,81,82,0,0,0,9.88131e-324,772,772,774,774,548,0
GRASSLAND-FOR-ENGRG-00061,2020-03-24T17:34:27.866Z,pass,,1,250,207,57,58,81,81,0,0,0,9.88131e-324,773,773,775,775,548,0
GRASSLAND-FOR-ENGRG-00062,2020-03-24T17:34:28.152Z,pass,,1,249,209,57,58,82,82,0,0,0,9.88131e-324,772,772,774,774,548,0
GRASSLAND-FOR-ENGRG-00063,2020-03-24T17:34:28.437Z,pass,,1,247,211,57,58,82,82,0,0,0,9.88131e-324,770,770,772,772,548,0
GRASSLAND-FOR-ENGRG-00064,2020-03-24T17:34:28.708Z,pass,,1,247,211,57,57,82,82,0,0,0,9.88131e-324,770,770,772,772,548,0
GRASSLAND-FOR-ENGRG-00065,2020-03-24T17:34:28.990Z,pass,,1,246,211,56,57,82,82,0,0,0,9.88131e-324,769,769,771,771,548,0
GRASSLAND-FOR-ENGRG-00066,2020-03-24T17:34:31.428Z,pass,,1,246,212,57,57,82,83,0,0,0,9.88131e-324,769,769,771,771,548,0
GRASSLAND-FOR-ENGRG-00067,2020-03-24T17:34:31.749Z,pass,,1,245,214,57,57,82,82,0,0,0,9.88131e-324,768,768,770,770,548,0
