id,created,status,error,parentid,trackerx,trackery,lp1h,lp2h,lp1w,lp2w,rp1h,rp2h,rp1w,rp2w,fw1,f2w,fw3,fw4,edge1,edge2
LIGHT-AND-WHAT-IT-DOES-00000,2020-03-25T18:01:17.432Z,pass,,1,280,485,0,79,0,75,0,-0.999699,0,-0.00252586,0,5.66791,714,714,0,0
LIGHT-AND-WHAT-IT-DOES-00001,2020-03-25T18:01:17.539Z,pass,,1,244,308,79,79,81,82,0,-0.999699,0,-0.00252586,720,720,718,718,0,0
LIGHT-AND-WHAT-IT-DOES-00002,2020-03-25T18:01:17.640Z,pass,,1,243,307,79,79,81,82,0,-0.999699,0,-0.00252586,720,720,718,718,1,7
LIGHT-AND-WHAT-IT-DOES-00003,2020-03-25T18:01:17.737Z,pass,,1,240,306,79,79,82,81,0,-0.999699,0,-0.00252586,723,723,721,721,2,6
LIGHT-AND-WHAT-IT-DOES-00004,2020-03-25T18:01:17.836Z,pass,,1,244,362,79,79,80,82,0,-0.999699,0,-0.00252586,723,723,721,721,1,6
LIGHT-AND-WHAT-IT-DOES-00005,2020-03-25T18:01:17.935Z,pass,,1,243,360,79,33,81,67,0,-0.999699,0,-0.00252586,722,722,721,721,1,8
LIGHT-AND-WHAT-IT-DOES-00006,2020-03-25T18:01:18.032Z,pass,,1,233,330,79,79,82,82,0,-0.999699,0,-0.00252586,723,723,722,722,1,13
LIGHT-AND-WHAT-IT-DOES-00007,2020-03-25T18:01:18.131Z,pass,,1,244,359,79,79,82,81,0,-0.999699,0,-0.00252586,723,723,722,722,1,9
LIGHT-AND-WHAT-IT-DOES-00008,2020-03-25T18:01:18.231Z,pass,,1,242,355,79,79,82,81,0,-0.999699,0,-0.00252586,723,723,722,722,1,5
LIGHT-AND-WHAT-IT-DOES-00009,2020-03-25T18:01:18.328Z,pass,,1,240,352,79,79,81,82,0,-0.999699,0,-0.00252586,725,725,724,724,1,5
LIGHT-AND-WHAT-IT-DOES-00010,2020-03-25T18:01:18.427Z,pass,,1,238,348,79,79,82,82,0,-0.999699,0,-0.00252586,722,722,721,721,1,6
LIGHT-AND-WHAT-IT-DOES-00011,2020-03-25T18:01:18.524Z,pass,,1,238,346,79,79,82,81,0,-0.999699,0,-0.00252586,722,722,721,721,1,6
LIGHT-AND-WHAT-IT-DOES-00012,2020-03-25T18:01:18.621Z,pass,,1,240,349,79,79,82,82,0,-0.999699,0,-0.00252586,722,722,717,717,1,14
LIGHT-AND-WHAT-IT-DOES-00013,2020-03-25T18:01:18.725Z,pass,,1,239,343,79,79,82,81,0,-0.999699,0,-0.00252586,723,723,722,722,1,5
LIGHT-AND-WHAT-IT-DOES-00014,2020-03-25T18:01:18.828Z,pass,,1,241,346,79,42,82,67,0,-0.999699,0,-0.00252586,723,723,723,723,1,6
LIGHT-AND-WHAT-IT-DOES-00015,2020-03-25T18:01:18.930Z,pass,,1,240,340,79,79,81,81,0,-0.999699,0,-0.00252586,723,723,722,722,1,12
LIGHT-AND-WHAT-IT-DOES-00016,2020-03-25T18:01:19.035Z,pass,,1,240,339,79,79,81,81,0,-0.999699,0,-0.00252586,723,723,722,722,1,11
LIGHT-AND-WHAT-IT-DOES-00017,2020-03-25T18:01:19.140Z,pass,,1,230,313,79,79,81,81,0,-0.999699,0,-0.00252586,724,724,723,723,1,7
LIGHT-AND-WHAT-IT-DOES-00018,2020-03-25T18:01:19.311Z,pass,,1,240,342,79,79,81,82,0,-0.999699,0,-0.00252586,724,724,723,723,1,12
LIGHT-AND-WHAT-IT-DOES-00019,2020-03-25T18:01:19.448Z,pass,,1,242,349,79,79,79,81,0,-0.999699,0,-0.00252586,725,725,724,724,1,13
LIGHT-AND-WHAT-IT-DOES-00020,2020-03-25T18:01:19.583Z,pass,,1,241,345,79,79,79,80,0,-0.999699,0,-0.00252586,725,725,722,722,1,5
LIGHT-AND-WHAT-IT-DOES-00021,2020-03-25T18:01:19.703Z,pass,,1,242,343,79,79,79,82,0,-0.999699,0,-0.00252586,725,725,722,722,1,5
LIGHT-AND-WHAT-IT-DOES-00022,2020-03-25T18:01:19.871Z,pass,,1,231,308,79,79,82,82,0,-0.999699,0,-0.00252586,723,723,721,721,1,7
